return_period_yr,period_s,mw,distance_km, D75_s
10000.00,0.01,5.69,16.40,3.28
10000.00,0.20,5.95,25.36,4.66
10000.00,0.50,6.27,42.00,7.12
10000.00,1.00,6.56,62.12,10.11
10000.00,2.00,6.81,87.19,13.75
10000.00,5.00,7.03,112.38,17.50
10000.00,10.00,7.15,128.98,19.95
100.00,0.01,5.44,120.10,13.29
100.00,0.20,5.53,139.25,15.32
100.00,0.50,5.70,159.80,17.63
100.00,1.00,5.84,174.60,19.35
10.00,0.01,5.14,245.54,25.50
2475.00,0.01,5.63,29.43,4.48
2475.00,0.20,5.88,46.51,6.63
2475.00,0.50,6.17,71.00,9.73
2475.00,1.00,6.44,98.69,13.33
2475.00,2.00,6.68,124.62,16.86
2475.00,5.00,6.88,147.34,20.13
2475.00,10.00,6.99,161.62,22.19
250.00,0.01,5.58,94.59,10.92
250.00,0.20,5.67,106.61,12.27
250.00,0.50,5.89,134.01,15.41
250.00,1.00,6.07,155.36,17.93
250.00,2.00,6.23,172.64,20.07
475.00,0.01,5.60,67.79,8.27
475.00,0.20,5.80,99.73,11.80
475.00,0.50,6.00,115.91,13.82
475.00,1.00,6.20,140.62,16.79
475.00,2.00,6.39,161.34,19.43
475.00,5.00,6.55,178.35,21.71
475.00,10.00,6.65,189.78,23.25
5000.00,0.01,5.65,21.35,3.71
5000.00,0.20,5.91,33.95,5.43
5000.00,0.50,6.23,61.55,8.96
5000.00,1.00,6.51,79.93,11.69
5000.00,2.00,6.76,106.06,15.36
5000.00,5.00,6.97,130.35,18.92
5000.00,10.00,7.08,145.95,21.19
50.00,0.01,5.36,157.23,16.90
50.00,0.20,5.41,169.31,18.16
50.00,0.50,5.53,180.59,19.45
50.00,1.00,5.63,189.11,20.45
975.00,0.01,5.62,46.82,6.21
975.00,0.20,5.84,71.57,9.06
975.00,0.50,6.09,95.92,12.02
975.00,1.00,6.32,123.16,15.40
975.00,2.00,6.54,146.60,18.49
975.00,5.00,6.72,166.80,21.28
975.00,10.00,6.83,179.18,23.03
