period, target, Mw5.67_R106.61_T0.2,sigma_Mw5.67_R106.61_T0.2,Mw6.07_R155.36_T1,sigma_Mw6.07_R155.36_T1
9.999999776482582092e-03,3.063604608178138733e-02,2.991517819464206696e-02,3.345812261104583740e-01,2.365686744451522827e-02,5.697389245033264160e-01
1.999999955296516418e-02,4.663981869816780090e-02,4.210589826107025146e-02,3.686729371547698975e-01,3.162998706102371216e-02,6.254754066467285156e-01
2.999999932944774628e-02,5.645379796624183655e-02,5.261855944991111755e-02,3.832516074180603027e-01,3.924817591905593872e-02,6.378415226936340332e-01
5.000000074505805969e-02,6.746214628219604492e-02,6.216710060834884644e-02,4.208591580390930176e-01,4.689277336001396179e-02,6.690071225166320801e-01
7.500000298023223877e-02,6.672117859125137329e-02,6.157910451292991638e-02,4.582552015781402588e-01,4.920045658946037292e-02,6.913440227508544922e-01
1.000000014901161194e-01,5.789905786514282227e-02,5.940098688006401062e-02,4.753268957138061523e-01,4.974658042192459106e-02,6.969872117042541504e-01
1.500000059604644775e-01,5.639932677149772644e-02,5.468920990824699402e-02,3.316362798213958740e-01,4.855724424123764038e-02,6.604374647140502930e-01
2.000000029802322388e-01,4.766637831926345825e-02,4.766637831926345825e-02,1.079064393394446597e-08,4.363550245761871338e-02,6.169635653495788574e-01
2.500000000000000000e-01,4.072646424174308777e-02,3.850762173533439636e-02,2.814771234989166260e-01,3.843731060624122620e-02,5.803029537200927734e-01
3.000000119209289551e-01,3.642284497618675232e-02,3.306774049997329712e-02,3.717589080333709717e-01,3.491387516260147095e-02,5.555779337882995605e-01
4.000000059604644775e-01,2.885221131145954132e-02,2.417932264506816864e-02,4.697941839694976807e-01,2.808441221714019775e-02,5.051616430282592773e-01
5.000000000000000000e-01,2.394316531717777252e-02,1.887873560190200806e-02,5.287597775459289551e-01,2.361471019685268402e-02,4.564693272113800049e-01
7.500000000000000000e-01,1.567188464105129242e-02,1.077268365770578384e-02,6.115607619285583496e-01,1.576227694749832153e-02,3.157435059547424316e-01
1.000000000000000000e+00,1.110960636287927628e-02,6.786872167140245438e-03,6.495671272277832031e-01,1.110960636287927628e-02,1.061907095589731398e-08
1.500000000000000000e+00,6.377852056175470352e-03,3.222879255190491676e-03,6.796344518661499023e-01,5.940441507846117020e-03,3.722271025180816650e-01
2.000000000000000000e+00,4.303791094571352005e-03,1.887608435936272144e-03,6.915401816368103027e-01,3.769648494198918343e-03,4.694950580596923828e-01
3.000000000000000000e+00,2.220335416495800018e-03,7.736452389508485794e-04,7.008874416351318359e-01,1.672423211857676506e-03,5.584661364555358887e-01
4.000000000000000000e+00,1.435416867025196552e-03,4.424855869729071856e-04,6.971262693405151367e-01,9.944178164005279541e-04,5.946261882781982422e-01
5.000000000000000000e+00,9.776166407391428947e-04,2.719602780416607857e-04,6.968143582344055176e-01,6.334977806545794010e-04,6.203079223632812500e-01
7.500000000000000000e+00,4.989565350115299225e-04,1.122025641961954534e-04,6.883144378662109375e-01,2.820506051648408175e-04,6.474446058273315430e-01
1.000000000000000000e+01,3.001842997036874294e-04,6.059752922737970948e-05,6.767915487289428711e-01,1.571763859828934073e-04,6.527475118637084961e-01
