period, target, Mw5.8_R99.73_T0.2,sigma_Mw5.8_R99.73_T0.2,Mw6.2_R140.62_T1,sigma_Mw6.2_R140.62_T1,Mw6.55_R178.35_T5,sigma_Mw6.55_R178.35_T5
9.999999776482582092e-03,5.275384709239006042e-02,4.675336554646492004e-02,3.275491297245025635e-01,3.520205244421958923e-02,5.656688809394836426e-01,3.194501250982284546e-02,6.455033421516418457e-01
1.999999955296516418e-02,8.277434110641479492e-02,6.667536497116088867e-02,3.622061610221862793e-01,4.765196517109870911e-02,6.214129328727722168e-01,4.185127839446067810e-02,7.034543156623840332e-01
2.999999932944774628e-02,9.997493028640747070e-02,8.295385539531707764e-02,3.765814602375030518e-01,5.902296304702758789e-02,6.337621212005615234e-01,5.164123326539993286e-02,7.074322700500488281e-01
5.000000074505805969e-02,1.189153417944908142e-01,9.757995605468750000e-02,4.136784374713897705e-01,6.936597079038619995e-02,6.648890972137451172e-01,6.186254322528839111e-02,7.178163528442382812e-01
7.500000298023223877e-02,1.150430217385292053e-01,9.511701762676239014e-02,4.504015743732452393e-01,7.078996300697326660e-02,6.870619058609008789e-01,6.687821447849273682e-02,7.160785198211669922e-01
1.000000014901161194e-01,9.763809293508529663e-02,9.125948697328567505e-02,4.670823216438293457e-01,7.030174136161804199e-02,6.925811767578125000e-01,6.939248740673065186e-02,7.097420096397399902e-01
1.500000059604644775e-01,9.217642992734909058e-02,8.606388419866561890e-02,3.258582949638366699e-01,6.876945495605468750e-02,6.561939120292663574e-01,6.926201283931732178e-02,6.915069222450256348e-01
2.000000029802322388e-01,7.647234201431274414e-02,7.647234201431274414e-02,1.059638865541501218e-08,6.201964989304542542e-02,6.129711866378784180e-01,6.271807849407196045e-02,6.712174415588378906e-01
2.500000000000000000e-01,6.451095640659332275e-02,6.052761152386665344e-02,2.763912081718444824e-01,5.510302633047103882e-02,5.765647888183593750e-01,5.634225532412528992e-02,6.572874188423156738e-01
3.000000119209289551e-01,5.720723420381546021e-02,5.125504359602928162e-02,3.655735850334167480e-01,5.039238557219505310e-02,5.521564483642578125e-01,5.122345313429832458e-02,6.567361354827880859e-01
4.000000059604644775e-01,4.496066272258758545e-02,3.681490942835807800e-02,4.630497097969055176e-01,4.122015461325645447e-02,5.023254752159118652e-01,4.180745780467987061e-02,6.540210843086242676e-01
5.000000000000000000e-01,3.732975199818611145e-02,2.844240516424179077e-02,5.222682952880859375e-01,3.518568724393844604e-02,4.540994167327880859e-01,3.545394167304039001e-02,6.542243957519531250e-01
7.500000000000000000e-01,2.481271885335445404e-02,1.611653715372085571e-02,6.066481471061706543e-01,2.453359961509704590e-02,3.143973946571350098e-01,2.490852028131484985e-02,6.500615477561950684e-01
1.000000000000000000e+00,1.787156239151954651e-02,1.011654734611511230e-02,6.456043720245361328e-01,1.787156239151954651e-02,1.058031262601843991e-08,1.836785487830638885e-02,6.300982236862182617e-01
1.500000000000000000e+00,1.053828280419111252e-02,4.804553929716348648e-03,6.769823431968688965e-01,9.538389742374420166e-03,3.711616992950439453e-01,1.138009037822484970e-02,5.767828822135925293e-01
2.000000000000000000e+00,7.279594894498586655e-03,2.810383448377251625e-03,6.894490122795104980e-01,6.035102065652608871e-03,4.682706594467163086e-01,8.014380931854248047e-03,5.206047892570495605e-01
3.000000000000000000e+00,3.877939423546195030e-03,1.151377800852060318e-03,6.986581087112426758e-01,2.671292750164866447e-03,5.569645166397094727e-01,4.085738211870193481e-03,4.048108160495758057e-01
4.000000000000000000e+00,2.551127457991242409e-03,6.536263972520828247e-04,6.942492723464965820e-01,1.568538020364940166e-03,5.929875373840332031e-01,2.599666360765695572e-03,2.715678513050079346e-01
5.000000000000000000e+00,1.773677417077124119e-03,4.023083602078258991e-04,6.946242451667785645e-01,9.977624285966157913e-04,6.185843348503112793e-01,1.773677417077124119e-03,1.021628648345540569e-08
7.500000000000000000e+00,9.494960540905594826e-04,1.676752435741946101e-04,6.872829198837280273e-01,4.458609037101268768e-04,6.456481218338012695e-01,8.818540954962372780e-04,3.550635278224945068e-01
1.000000000000000000e+01,5.881141987629234791e-04,9.097272413782775402e-05,6.762928366661071777e-01,2.475671935826539993e-04,6.509065628051757812e-01,5.166656919755041599e-04,4.426012635231018066e-01
