period_s,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.000000000000000021e-02,1.569693347137486983e+00,1.470354750096737995e+00,1.337887462013033879e+00,1.457886706869808702e+00,1.270445424944232293e+00,1.415810973917927207e+00,1.452387131379156093e+00,1.156671687860051811e+00,1.355723757126024331e+00,1.402832594125250854e+00,1.010483471710679870e+00,1.255197587442236973e+00,1.329272068152902220e+00,8.774739706615537482e-01,1.162991258580142073e+00,1.254011573915414957e+00,7.280782994257775087e-01,1.067259838606563926e+00,1.184025227172031292e+00
2.000000000000000042e-02,1.368041621964056098e+00,1.242099714590154225e+00,1.095697305703283941e+00,1.227392178350543261e+00,1.025706881586365915e+00,1.150091405912854636e+00,1.218347723489757062e+00,8.837709795840200666e-01,1.056789265449306736e+00,1.144994230682823133e+00,6.882789934453709124e-01,9.157512241876070158e-01,1.037654313074168666e+00,5.548886391237056737e-01,7.928381735051124313e-01,9.545226840987898198e-01,4.330123548887392371e-01,6.765212115441707752e-01,8.669486976958962199e-01
2.999999999999999889e-02,1.293595173206865123e+00,1.178659067880415856e+00,1.052685150461706964e+00,1.127395647078528018e+00,9.897391435762352696e-01,1.067415794905343329e+00,1.114325925544008111e+00,8.495075869682214842e-01,9.755073551282602562e-01,1.049400378611808238e+00,6.667713534423531652e-01,8.411555508068917497e-01,9.504029280312213945e-01,5.221858130826730893e-01,7.232481298698366645e-01,8.632702714114349751e-01,3.905411063323227516e-01,6.146046914990739296e-01,7.760565847398567252e-01
5.000000000000000278e-02,1.231134552193120291e+00,1.156871940975288116e+00,1.083122547793430535e+00,1.133699304144833997e+00,1.019760358540448220e+00,1.068765038829868619e+00,1.101633437516506220e+00,9.282221630729601269e-01,1.002384501199752975e+00,1.042631958806391701e+00,7.681662170772842746e-01,8.991398404998585114e-01,9.758117999074973348e-01,6.033356111661249965e-01,8.031844217561359134e-01,9.072434153194630646e-01,4.495706286226132109e-01,6.694663485057914531e-01,8.454862263419203883e-01
7.499999999999999722e-02,1.307000353035043805e+00,1.220640951236420246e+00,1.150188792815706851e+00,1.190465136821891257e+00,1.072487814769239822e+00,1.132211950048337634e+00,1.151826439661027823e+00,9.720157711340888795e-01,1.045883365422695777e+00,1.086718304450597694e+00,8.368009223870547242e-01,9.515254044122093413e-01,1.003112449560971786e+00,6.861146352623891387e-01,8.665650157059773262e-01,9.439365926975062937e-01,5.384130964498661243e-01,7.769356347879956548e-01,8.712842861709121367e-01
1.000000000000000056e-01,1.421049344614039089e+00,1.385618431401975492e+00,1.336546195974620987e+00,1.356580536814007809e+00,1.295452293275737521e+00,1.327820059508907136e+00,1.328982388067410536e+00,1.224450157306222753e+00,1.287027156915665493e+00,1.290505879933486977e+00,1.078635106977869018e+00,1.210413465928303234e+00,1.233626678284582834e+00,8.653327158561756605e-01,1.076368030184224001e+00,1.191753010441981786e+00,6.637752874202431652e-01,9.237479061986786366e-01,1.108740988424787410e+00
1.499999999999999944e-01,1.505671923029965331e+00,1.465940237335415341e+00,1.468147370562606024e+00,1.485148352984870801e+00,1.471636795732508940e+00,1.491572859165353204e+00,1.488437665872962334e+00,1.421313814396865105e+00,1.455686540565972908e+00,1.464256726106557993e+00,1.298697112837467138e+00,1.367607238064410646e+00,1.399301695696088199e+00,1.139539483750971804e+00,1.290828996689224795e+00,1.355865114353536960e+00,9.589515398809622670e-01,1.179136047462506776e+00,1.297463656494691309e+00
2.000000000000000111e-01,1.354649783683885556e+00,1.330668428368067868e+00,1.294091767585348052e+00,1.322231107498119451e+00,1.283573977996233850e+00,1.323145802512286640e+00,1.320671463402316448e+00,1.262280062750681386e+00,1.314291424823991639e+00,1.312891509455258898e+00,1.246747989207155127e+00,1.297236412427646091e+00,1.289384572043519750e+00,1.240599585803294325e+00,1.288267541407707384e+00,1.281249942500739092e+00,1.099737209725500708e+00,1.249148349707968508e+00,1.265105839501483143e+00
2.500000000000000000e-01,1.686937414137397173e+00,1.656346046253771576e+00,1.588062510830436036e+00,1.619223418355768329e+00,1.539750188226570726e+00,1.583248125323144739e+00,1.575876718969910328e+00,1.491932071910945456e+00,1.549521069449205646e+00,1.548802362156878942e+00,1.400544711270996556e+00,1.480500453297012076e+00,1.500883511465581188e+00,1.318090975260959308e+00,1.414469718689863154e+00,1.457270668937705516e+00,1.221210087046314063e+00,1.363906787910022622e+00,1.413531208724946087e+00
2.999999999999999889e-01,2.101770193101814677e+00,2.057169564491172942e+00,1.981715970923407344e+00,2.000178947781717120e+00,1.903239804375603139e+00,1.938271767370611798e+00,1.934350826946334978e+00,1.813047361308548933e+00,1.858968633034291607e+00,1.878548123204429210e+00,1.624660033405026294e+00,1.735731364574049307e+00,1.791771916037567802e+00,1.476026684101299224e+00,1.613559295982546882e+00,1.709250927071403137e+00,1.340646595937408758e+00,1.498609514194263914e+00,1.622969428896115396e+00
