period_s,yr50,yr100,yr250,yr475,yr975,yr2475,yr5000,yr10000
1.000000000000000021e-02,8.688362479485473716e-03,1.763585373284674157e-02,3.586574007631604388e-02,5.335226230700941541e-02,8.439593492176038214e-02,1.421512539880152581e-01,1.956434184492708561e-01,2.465736153449731294e-01
1.079775162327709613e-02,8.715016654729484946e-03,1.770390169334034106e-02,3.600008220838465944e-02,5.355308546879210263e-02,8.471233071670125625e-02,1.424814748606290093e-01,1.961851612983257775e-01,2.468224417996418563e-01
1.165914401179831729e-02,8.748881410765661087e-03,1.779058463289545644e-02,3.617804712765730624e-02,5.380405442583695297e-02,8.511031312552939931e-02,1.428948186757137417e-01,1.967383589421305423e-01,2.471626801073462387e-01
1.258925411794167143e-02,8.794052722260647242e-03,1.790325748953473795e-02,3.640362184812293012e-02,5.419241455660656070e-02,8.561928105595484340e-02,1.434181741979027036e-01,1.974811642584905491e-01,2.475818034379267396e-01
1.359356390878525486e-02,8.856430823351649217e-03,1.805145383406758092e-02,3.669227566430458692e-02,5.463565733048539319e-02,8.628603102950371806e-02,1.442844716965860641e-01,1.984697579751301122e-01,2.481273244852797433e-01
1.467799267622069311e-02,8.942430148856938404e-03,1.825079560742974560e-02,3.708063165009742312e-02,5.522723576685047153e-02,8.719193971494693107e-02,1.456202330119820976e-01,1.994187157946162303e-01,2.487214895098747713e-01
1.584893192461113084e-02,9.068208734216764988e-03,1.856322927263465497e-02,3.771366093504158884e-02,5.607220928728675474e-02,8.849773869495816681e-02,1.472316490872647710e-01,2.006532641956293439e-01,2.493866028229849707e-01
1.711328304161780292e-02,9.267997694813435994e-03,1.907426002223899103e-02,3.869861090924207880e-02,5.753913351824207351e-02,9.089061132302021784e-02,1.497948204318401699e-01,2.023894608136413420e-01,2.505035320029259660e-01
1.847849797422290372e-02,9.667135309378394742e-03,1.997740184400838281e-02,4.067789690034631644e-02,5.996890364706002063e-02,9.519331445900576505e-02,1.544361243065690559e-01,2.061236484467572905e-01,2.523477793614788967e-01
1.995262314968878833e-02,1.064807653357252581e-02,2.243611146679936816e-02,4.555619304755325477e-02,6.752547197596625583e-02,1.065652157770749509e-01,1.653948765261986087e-01,2.133869428106809352e-01,2.559067212044691120e-01
2.154434690031882885e-02,1.138537756871989097e-02,2.445026078530341054e-02,5.019195084615597768e-02,7.282901022685409065e-02,1.141200219795244775e-01,1.738365764479658515e-01,2.205404809745781791e-01,2.592703111385739057e-01
2.326305067153625061e-02,1.175486390649118154e-02,2.529248605256503510e-02,5.145632344476881725e-02,7.515434058978112675e-02,1.163036757208139871e-01,1.785281309071459210e-01,2.222508211714728787e-01,2.626994294703398625e-01
2.511886431509579090e-02,1.189301293756681727e-02,2.593824943874575850e-02,5.352517541137000179e-02,7.702201906555286581e-02,1.198850027265278423e-01,1.812597075444248862e-01,2.279786758426144977e-01,2.660809736652327562e-01
2.712272579332027089e-02,1.185214102877449674e-02,2.569239750293760699e-02,5.422007216070361818e-02,7.986787383865311118e-02,1.212124668444650721e-01,1.889539501932926413e-01,2.347818383009934728e-01,2.731518362429408708e-01
2.928644564625235147e-02,1.191144398064642937e-02,2.568578350817321554e-02,5.480699881297232401e-02,8.132061116877220552e-02,1.259412250856737914e-01,1.954884298964651990e-01,2.444835141211023632e-01,2.802012564376731851e-01
3.162277660168377746e-02,1.207508091276046289e-02,2.643791959965403893e-02,5.792802748765833731e-02,8.518343482678626677e-02,1.312884911233634100e-01,2.052234702952384637e-01,2.559818863047131354e-01,2.911087242308145751e-01
3.414548873833599812e-02,1.243842016012271234e-02,2.744966432468043394e-02,6.004826065193831497e-02,8.865426210779933647e-02,1.411010207992751675e-01,2.198377934667585243e-01,2.700118275854176964e-01,3.003214828330724728e-01
3.686945064519573517e-02,1.250214618888932649e-02,2.754490848339816514e-02,6.114479470678659684e-02,9.014126409817339869e-02,1.466478119427734317e-01,2.302071564852732344e-01,2.842037524981320118e-01,3.114668683439903996e-01
3.981071705534970639e-02,1.293824776197431692e-02,2.828869097464002669e-02,6.340732339280311103e-02,9.248071573126670497e-02,1.504126755005237848e-01,2.371489010915800999e-01,2.939276860443037487e-01,3.239910748469917445e-01
