period_s,f1,f2,f3,sd_res,cov1,cov2,cov3
1.000000000000000021e-02,4.349999999999999978e-01,-8.770000000000000018e-01,2.969999999999999862e-01,1.280000000000000027e-01,0.000000000000000000e+00,1.140175425099137912e-01,5.477225575051661299e-02
2.000000000000000042e-02,3.130000000000000004e-01,-7.740000000000000213e-01,1.769999999999999907e-01,1.089999999999999997e-01,0.000000000000000000e+00,4.472135954999579416e-02,0.000000000000000000e+00
2.999999999999999889e-02,2.810000000000000275e-01,-7.359999999999999876e-01,1.809999999999999942e-01,1.360000000000000098e-01,0.000000000000000000e+00,5.477225575051661299e-02,3.162277660168379134e-02
5.000000000000000278e-02,2.530000000000000027e-01,-8.050000000000000488e-01,3.140000000000000013e-01,1.580000000000000016e-01,0.000000000000000000e+00,9.486832980505137403e-02,5.477225575051661299e-02
7.499999999999999722e-02,2.869999999999999774e-01,-6.909999999999999476e-01,3.079999999999999960e-01,1.839999999999999969e-01,0.000000000000000000e+00,1.048808848170151575e-01,7.071067811865475172e-02
1.000000000000000056e-01,3.990000000000000213e-01,-1.116000000000000103e+00,6.440000000000000169e-01,1.890000000000000013e-01,0.000000000000000000e+00,2.626785107312739620e-01,1.974841765813149796e-01
1.499999999999999944e-01,4.550000000000000155e-01,-4.107000000000000206e+00,4.376999999999999780e+00,2.670000000000000151e-01,0.000000000000000000e+00,8.707927422756807090e+00,9.779212647243131329e+00
2.000000000000000111e-01,3.270000000000000129e-01,-1.126476000000000113e+03,2.824652000000000044e+03,1.980000000000000093e-01,0.000000000000000000e+00,6.018984855296963360e+05,1.509389122171036201e+06
2.500000000000000000e-01,5.420000000000000373e-01,-2.939999999999999836e-01,1.789999999999999925e-01,2.369999999999999885e-01,0.000000000000000000e+00,8.366600265340755349e-02,8.366600265340755349e-02
2.999999999999999889e-01,7.530000000000000027e-01,-6.830000000000000515e-01,3.390000000000000235e-01,3.119999999999999996e-01,0.000000000000000000e+00,2.898275349237887655e-01,1.897366596101027481e-01
4.000000000000000222e-01,9.739999999999999769e-01,-3.255001000000000204e+03,2.413485000000000127e+03,3.669999999999999929e-01,0.000000000000000000e+00,5.878497211974621750e+05,4.358208901155863423e+05
5.000000000000000000e-01,7.780000000000000249e-01,-5.634289999999999736e+02,-1.865133000000000038e+03,4.239999999999999880e-01,0.000000000000000000e+00,1.400771978666634299e+06,4.637094244151530787e+06
7.500000000000000000e-01,4.079999999999999738e-01,-4.127810000000000059e+02,-3.263299999999999841e+02,2.760000000000000231e-01,0.000000000000000000e+00,6.131719361758430023e+05,4.846621033786198823e+05
1.000000000000000000e+00,2.620000000000000107e-01,-4.400939999999999941e+02,-4.946659999999999968e+02,1.489999999999999936e-01,0.000000000000000000e+00,1.051395015356073389e+06,1.181660514719178900e+06
1.500000000000000000e+00,1.729999999999999871e-01,-1.631519999999999868e+02,-3.979130000000000109e+02,7.299999999999999545e-02,0.000000000000000000e+00,4.377308626616816618e+05,1.067494316396790324e+06
2.000000000000000000e+00,1.370000000000000107e-01,1.355799999999999983e+01,-1.423069999999999879e+02,4.599999999999999922e-02,0.000000000000000000e+00,2.011502305208845646e+05,2.111038561246602330e+06
3.000000000000000000e+00,1.150000000000000050e-01,7.597390000000000327e+02,-6.213659999999999854e+02,3.599999999999999728e-02,0.000000000000000000e+00,2.313836736822004023e+05,1.892408678904242406e+05
4.000000000000000000e+00,1.059999999999999970e-01,-6.882735999999999876e+03,2.718762999999999920e+03,3.300000000000000155e-02,0.000000000000000000e+00,1.157265129937733873e+05,4.571323947007037350e+04
5.000000000000000000e+00,1.039999999999999952e-01,-2.408563000000000102e+03,5.745330000000000155e+02,3.500000000000000333e-02,0.000000000000000000e+00,1.235713195562586916e+05,2.948410335840315020e+04
7.500000000000000000e+00,1.069999999999999979e-01,-1.237476200000000063e+04,1.048263999999999896e+03,3.899999999999999994e-02,0.000000000000000000e+00,1.235577448896223505e+05,1.044903462775389562e+04
1.000000000000000000e+01,1.120000000000000023e-01,-5.563132899999999790e+04,2.149159000000000106e+03,4.299999999999999656e-02,0.000000000000000000e+00,1.537806980596849753e+05,5.898923028655315647e+03
