perids_s,yr50+p0.2s,yr100+p0.2s,yr250+p0.2s,yr250+p1s,yr475+p0.2s,yr475+p1s,yr475+p5s,yr975+p0.2s,yr975+p1s,yr975+p5s,yr2475+p0.2s,yr2475+p1s,yr2475+p5s,yr5000+p0.2s,yr5000+p1s,yr5000+p5s,yr10000+p0.2s,yr10000+p1s,yr10000+p5s
1.00E-02,5.92E-03,1.29E-02,2.99E-02,2.37E-02,4.68E-02,3.52E-02,3.19E-02,8.46E-02,5.34E-02,4.39E-02,1.68E-01,8.88E-02,6.45E-02,2.68E-01,1.29E-01,8.51E-02,4.10E-01,1.88E-01,1.10E-01
2.00E-02,7.85E-03,1.83E-02,4.21E-02,3.16E-02,6.67E-02,4.77E-02,4.19E-02,1.22E-01,7.32E-02,5.81E-02,2.44E-01,1.24E-01,8.67E-02,3.91E-01,1.81E-01,1.16E-01,6.01E-01,2.64E-01,1.51E-01
3.00E-02,9.26E-03,2.19E-02,5.26E-02,3.92E-02,8.30E-02,5.90E-02,5.16E-02,1.50E-01,9.05E-02,7.17E-02,2.97E-01,1.51E-01,1.07E-01,4.74E-01,2.19E-01,1.43E-01,7.26E-01,3.14E-01,1.87E-01
5.00E-02,1.13E-02,2.66E-02,6.22E-02,4.69E-02,9.76E-02,6.94E-02,6.19E-02,1.74E-01,1.05E-01,8.49E-02,3.39E-01,1.72E-01,1.25E-01,5.31E-01,2.45E-01,1.66E-01,8.01E-01,3.45E-01,2.14E-01
7.50E-02,1.22E-02,2.74E-02,6.16E-02,4.92E-02,9.51E-02,7.08E-02,6.69E-02,1.61E-01,1.03E-01,9.05E-02,3.02E-01,1.61E-01,1.31E-01,4.75E-01,2.21E-01,1.70E-01,7.18E-01,2.98E-01,2.14E-01
1.00E-01,1.14E-02,2.47E-02,5.94E-02,4.97E-02,9.13E-02,7.03E-02,6.94E-02,1.51E-01,1.01E-01,9.27E-02,2.79E-01,1.53E-01,1.32E-01,4.35E-01,2.06E-01,1.69E-01,6.53E-01,2.75E-01,2.09E-01
1.50E-01,1.26E-02,2.56E-02,5.47E-02,4.86E-02,8.61E-02,6.88E-02,6.93E-02,1.41E-01,9.83E-02,9.19E-02,2.58E-01,1.49E-01,1.29E-01,3.98E-01,1.99E-01,1.63E-01,5.95E-01,2.64E-01,1.99E-01
2.00E-01,1.15E-02,2.24E-02,4.77E-02,4.36E-02,7.65E-02,6.20E-02,6.27E-02,1.25E-01,8.87E-02,8.30E-02,2.28E-01,1.35E-01,1.15E-01,3.48E-01,1.80E-01,1.45E-01,5.15E-01,2.40E-01,1.76E-01
2.50E-01,1.02E-02,1.95E-02,3.85E-02,3.84E-02,6.05E-02,5.51E-02,5.63E-02,9.63E-02,7.93E-02,7.50E-02,1.72E-01,1.21E-01,1.05E-01,2.63E-01,1.63E-01,1.31E-01,3.92E-01,2.18E-01,1.60E-01
3.00E-01,9.39E-03,1.77E-02,3.31E-02,3.49E-02,5.13E-02,5.04E-02,5.12E-02,7.99E-02,7.30E-02,6.82E-02,1.41E-01,1.12E-01,9.50E-02,2.15E-01,1.51E-01,1.19E-01,3.19E-01,2.03E-01,1.45E-01
