period_s,yr2475,yr5000,yr10000
1.00E-02,1.93E-01,2.56E-01,3.20E-01
2.00E-02,1.94E-01,2.48E-01,2.89E-01
3.00E-02,2.18E-01,2.79E-01,3.29E-01
5.00E-02,2.83E-01,3.51E-01,4.32E-01
1.00E-01,3.15E-01,4.11E-01,4.85E-01
1.50E-01,3.72E-01,4.92E-01,6.17E-01
2.00E-01,3.08E-01,4.49E-01,6.22E-01
2.50E-01,2.84E-01,4.03E-01,5.53E-01
3.00E-01,2.96E-01,4.03E-01,5.27E-01
4.00E-01,3.19E-01,4.40E-01,5.65E-01
5.00E-01,2.73E-01,4.12E-01,6.10E-01
7.50E-01,1.24E-01,1.90E-01,2.90E-01
1.00E+00,7.12E-02,1.07E-01,1.60E-01
1.50E+00,3.84E-02,5.66E-02,8.12E-02
2.00E+00,2.73E-02,4.04E-02,5.78E-02
3.00E+00,1.54E-02,2.30E-02,3.31E-02
4.00E+00,1.03E-02,1.54E-02,2.19E-02
5.00E+00,7.36E-03,1.10E-02,1.55E-02
7.50E+00,4.08E-03,6.00E-03,8.12E-03
1.00E+01,2.56E-03,3.66E-03,4.78E-03
